dataset,session_version,n_lines,n_session_scored,session_auc,session_f1,session_precision,session_recall,fused_auc,fused_f1
csic_eval,v1_naive,32265,32265,0.6329198500565197,0.10895847413081024,0.9247928616953474,0.05788948733293437,0.6811912333488486,0.10895847413081024
csic_eval,v2_stateful,32265,32265,0.9766747151849635,0.12085316939685872,1.0,0.06431278675443847,0.7619257486091717,0.1120731661606507
access_eval_mix_2000,v1_naive,2000,2000,0.6640854450942171,0.11627906976744186,1.0,0.06172839506172839,0.6603118908382066,0.11627906976744186
access_eval_mix_2000,v2_stateful,2000,,,,,,0.6878849902534113,0.11627906976744186
access_eval_small_500,v1_naive,500,500,0.6733490285605573,0.11961722488038277,1.0,0.06361323155216285,0.6679270409740553,0.11961722488038277
access_eval_small_500,v2_stateful,500,,,,,,0.6984138308244751,0.11961722488038277
nginx_json_eval_800,v1_naive,800,800,0.587033160735926,0.09309309309309309,0.775,0.04952076677316294,0.5758602328228857,0.0960960960960961
nginx_json_eval_800,v2_stateful,800,,,,,,0.6577705556167603,0.1111111111111111
access_attacks_200,v1_naive,200,200,0.5508130081300814,0.11494252873563218,1.0,0.06097560975609756,0.5177845528455285,0.11494252873563218
access_attacks_200,v2_stateful,200,,,,,,0.4745934959349594,0.11494252873563218
access_mixed_500,v1_naive,500,500,0.6347085572550641,0.15625,1.0,0.0847457627118644,0.6310872261264986,0.15625
access_mixed_500,v2_stateful,500,,,,,,0.5980983877635387,0.15625
access_small_benign,v1_naive,120,120,0.6296296296296295,0.16666666666666666,1.0,0.09090909090909091,0.6147586980920313,0.16666666666666666
access_small_benign,v2_stateful,120,,,,,,0.627384960718294,0.16666666666666666
access_super_long_session_2000,v1_naive,2000,2000,,0.0,0.0,0.0,,0.0
access_super_long_session_2000,v2_stateful,2000,2000,,0.0,0.0,0.0,,0.0
