dataset,branch,labels_used,n_lines,auc,prauc,f1,precision,recall,fpr,tn,fp,fn,tp,threshold,alert_rate
access_attacks_200,content,True,200,0.4745934959349594,0.844382192761778,0.11494252873563218,1.0,0.06097560975609756,0.0,36.0,0.0,154.0,10.0,16.920013332366942,0.05
access_attacks_200,fused,True,200,0.4745934959349594,0.844382192761778,0.11494252873563218,1.0,0.06097560975609756,0.0,36.0,0.0,154.0,10.0,16.920013332366942,0.05
access_attacks_200,session,True,200,,,,,,,,,,,,
access_eval_mix_2000,content,True,2000,0.6878849902534113,0.9149706290816313,0.11627906976744186,1.0,0.06172839506172839,0.0,380.0,0.0,1520.0,100.0,107.08240280151367,0.05
access_eval_mix_2000,fused,True,2000,0.6878849902534113,0.9149706290816313,0.11627906976744186,1.0,0.06172839506172839,0.0,380.0,0.0,1520.0,100.0,107.08240280151367,0.05
access_eval_mix_2000,session,True,2000,,,,,,,,,,,,
access_eval_small_500,content,True,500,0.6984138308244751,0.9076412425245981,0.11961722488038277,1.0,0.06361323155216285,0.0,107.0,0.0,368.0,25.0,107.05386009216309,0.05
access_eval_small_500,fused,True,500,0.6984138308244751,0.9076412425245981,0.11961722488038277,1.0,0.06361323155216285,0.0,107.0,0.0,368.0,25.0,107.05386009216309,0.05
access_eval_small_500,session,True,500,,,,,,,,,,,,
access_long_session_300,content,True,300,,,0.0,0.0,0.0,0.05,285.0,15.0,0.0,0.0,5.816526603698731,0.05
access_long_session_300,fused,True,300,,,0.0,0.0,0.0,0.05,285.0,15.0,0.0,0.0,3.317007325589657,0.05
access_long_session_300,session,True,300,,,0.0,0.0,0.0,0.05,285.0,15.0,0.0,0.0,0.8415484279394152,0.05
access_mixed_500,content,True,500,0.5980983877635387,0.7252467880006528,0.15625,1.0,0.0847457627118644,0.0,205.0,0.0,270.0,25.0,17.04126300811767,0.05
access_mixed_500,fused,True,500,0.5980983877635387,0.7252467880006528,0.15625,1.0,0.0847457627118644,0.0,205.0,0.0,270.0,25.0,17.04126300811767,0.05
access_mixed_500,session,True,500,,,,,,,,,,,,
access_small_benign,content,True,120,0.627384960718294,0.7453882936313218,0.16666666666666666,1.0,0.09090909090909091,0.0,54.0,0.0,60.0,6.0,44.93998908996425,0.05
access_small_benign,fused,True,120,0.627384960718294,0.7453882936313218,0.16666666666666666,1.0,0.09090909090909091,0.0,54.0,0.0,60.0,6.0,44.93998908996425,0.05
access_small_benign,session,True,120,,,,,,,,,,,,
access_super_long_session_2000,content,True,2000,,,0.0,0.0,0.0,0.05,1900.0,100.0,0.0,0.0,5.819892930984497,0.05
access_super_long_session_2000,fused,True,2000,,,0.0,0.0,0.0,0.05,1900.0,100.0,0.0,0.0,4.384450519084931,0.05
access_super_long_session_2000,session,True,2000,,,0.0,0.0,0.0,0.049974760222110046,1882.0,99.0,0.0,0.0,3.2004234790802,0.049974760222110046
csic_eval,content,True,61065,0.7013534222133564,0.5924299440028821,0.1391774583748399,0.6427867236279987,0.07803710353081987,0.030194444444444444,34913.0,1087.0,23109.0,1956.0,55.0068244934082,0.04983214607385573
csic_eval,fused,True,61065,0.7711832557572533,0.6394197260930912,0.14189693801344286,0.6532416502946955,0.07959305804907241,0.029416666666666667,34941.0,1059.0,23070.0,1995.0,27.877660664916036,0.050012281994595925
csic_eval,session,True,61065,0.974804830527299,0.9741494612426896,0.21723966118584953,1.0,0.1218557853549469,0.0,35981.0,0.0,21994.0,3052.0,0.9729148030281064,0.050010651023317546
nginx_json_eval_800,content,True,800,0.6577705556167603,0.8813358420411345,0.1111111111111111,0.925,0.05910543130990415,0.017241379310344827,171.0,3.0,589.0,37.0,107.05424842834472,0.05
nginx_json_eval_800,fused,True,800,0.6577705556167603,0.8813358420411345,0.1111111111111111,0.925,0.05910543130990415,0.017241379310344827,171.0,3.0,589.0,37.0,107.05424842834472,0.05
nginx_json_eval_800,session,True,800,,,,,,,,,,,,
